locus	NMEL	AAUR	APUR	Mgen	AVIR	HLIG	HQUA	HRUB	LLEU	LMAR	LFIG	LZEP	LVIE	LPAU	LOEN	LMAL	LCAL	LALB	shift
0_100	0.1909	0.3849	NA	0.4699	0.628	0.603	NA	0.669	0.6319	0.5531	0.5533	0.5935	0.5832	0.5846	0.5908	0.6052	0.5806	0.5806	neither
50_150	0.1128	0.2953	NA	0.3236	0.5302	0.5308	NA	0.5129	0.5866	0.5117	0.4925	0.5219	0.5219	0.5115	0.5597	0.5209	0.5209	0.5209	neither
100_200	0.2037	0.5136	NA	0.515	0.6201	0.6152	0.608	0.6148	0.6932	0.6281	0.6277	0.6078	0.6078	0.6175	0.6274	0.6472	0.6175	0.6175	neither
150_250	0.3491	0.7581	NA	0.7212	0.7329	0.7261	0.738	0.7355	0.7741	0.7399	0.7396	0.7488	0.7488	0.7299	0.7393	0.7683	0.7299	0.7299	neither
200_300	0.3463	0.5805	NA	0.5433	0.4604	0.5296	0.5388	0.5296	0.54	0.4826	0.4802	0.5469	0.5538	0.4996	0.5083	0.4995	0.4994	0.4994	fast
250_350	0.3326	0.5899	NA	0.5644	0.3084	0.3854	0.3952	0.376	0.3997	0.3364	0.3991	0.4134	0.4178	0.3694	0.3775	0.3814	0.3911	0.3911	fast
300_400	0.2715	0.5341	NA	0.4821	0.3677	0.3366	0.3466	0.3369	0.3578	0.3769	0.4266	0.4352	0.434	0.3756	0.405	0.3817	0.3815	0.3815	neither
350_450	0.1812	0.4472	NA	0.3682	0.3506	0.3475	0.3479	0.3479	0.4272	0.3402	0.3809	0.4141	0.4133	0.3402	0.371	0.3403	0.3402	0.3402	neither
400_500	0.1381	0.298	NA	0.2289	0.2473	0.2268	0.2268	0.2467	0.2993	0.2442	0.2442	0.2637	0.2637	0.2347	0.254	0.2347	0.2347	0.2347	neither
450_550	0.1233	0.2303	NA	0.203	0.2639	0.2117	0.2022	0.2214	0.2511	0.2529	0.2436	0.2446	0.2446	0.2314	0.2408	0.2408	0.2408	0.2314	neither
500_600	0.1311	0.2905	NA	0.2331	0.278	0.2141	0.1939	0.204	0.2378	0.2342	0.224	0.235	0.245	0.1938	0.2243	0.2238	0.2137	0.2037	neither
550_650	0.1988	0.2891	0.2662	0.2648	0.2579	0.2138	0.2138	0.2231	0.2355	0.2425	0.2136	0.242	0.251	0.2042	0.2138	0.2236	0.2228	0.2135	neither
600_700	0.3047	0.508	0.5576	0.5568	0.3294	0.3632	0.3514	0.3509	0.3601	0.43	0.4684	0.455	0.4943	0.3941	0.4041	0.4042	0.451	0.4406	fast
650_750	0.2634	0.7158	0.7537	0.7665	0.5034	0.608	0.5869	0.5869	0.6131	0.7192	0.7346	0.7305	0.7584	0.7294	0.7559	0.6986	0.7475	0.737	fast
700_800	0.2396	0.4473	0.495	0.609	0.5852	0.5693	0.6005	0.6005	0.5635	0.6444	0.6497	0.655	0.6368	0.6917	0.6959	0.6374	0.6612	0.6523	neither
750_850	0.3239	0.4039	0.4709	0.627	0.5747	0.5551	0.5268	0.536	0.5331	0.5292	0.5833	0.5568	0.5474	0.5983	0.5963	0.5542	0.5705	0.5705	neither
800_900	0.3759	0.455	0.4362	0.5721	0.4379	0.4649	0.4385	0.4446	0.507	0.48	0.5275	0.4935	0.4935	0.4718	0.4722	0.4803	0.4793	0.4793	fast
850_950	0.4317	0.5172	0.5047	0.5764	0.4693	0.4147	0.4051	0.3955	0.4701	0.4916	0.4614	0.4958	0.5471	0.4223	0.4118	0.4234	0.4137	0.4234	neither
900_1000	0.3424	0.4344	0.453	0.4321	0.4618	0.4724	0.4558	0.4361	0.4662	0.4857	0.4052	0.4773	0.5983	0.4765	0.4452	0.4391	0.4383	0.448	neither
950_1050	0.2654	0.4697	0.4194	0.4298	0.5125	0.6283	0.5981	0.6103	0.4923	0.5083	0.4782	0.5388	0.6007	0.5378	0.5284	0.5194	0.5394	0.5394	neither
1000_1100	0.3566	0.4601	0.382	0.4187	0.7574	0.7259	0.6854	0.7077	0.6917	0.6934	0.6832	0.7887	0.7561	0.6733	0.6928	0.6735	0.7026	0.7026	neither
1050_1150	0.5025	0.4757	0.4921	0.5157	0.7773	0.7456	0.7148	0.7299	0.7869	0.7276	0.7684	0.8473	0.828	0.7078	0.7474	0.7176	0.7368	0.7368	neither
1100_1200	0.6149	0.8262	0.8841	0.8351	1.0683	0.8809	0.8813	0.8815	0.8397	0.7596	0.855	0.8292	0.8579	0.7475	0.787	0.7874	0.7874	0.7874	neither
1150_1250	0.4778	0.8038	0.8555	0.7787	1.0926	0.7763	0.8156	0.8059	0.783	0.7213	0.7929	0.7805	0.79	0.7183	0.7665	0.7671	0.7474	0.7474	neither
1200_1300	0.4363	0.7006	0.8693	0.772	0.84	0.722	0.7358	0.7215	0.7211	0.651	0.6314	0.7167	0.7167	0.65	0.6936	0.6619	0.6615	0.6514	neither
1250_1350	0.4916	0.5959	0.8323	0.9346	0.8152	0.5742	0.5688	0.5741	0.6217	0.5324	0.5531	0.6634	0.6534	0.5425	0.555	0.5456	0.5913	0.5815	neither
1300_1400	0.3104	0.6054	0.7426	0.6383	0.8926	0.4827	0.4885	0.5006	0.5223	0.5155	0.5978	0.6652	0.6584	0.4925	0.5038	0.4972	0.5453	0.5453	neither
1350_1450	0.362	0.6028	0.6441	0.4166	0.8566	0.5175	0.5486	0.5389	0.5236	0.5189	0.5759	0.6179	0.6077	0.4876	0.5075	0.4887	0.5094	0.5094	neither
1400_1500	0.6347	0.4758	0.5405	0.4627	0.7384	0.5254	0.5259	0.5357	0.5534	0.5595	0.5655	0.5751	0.5654	0.544	0.5338	0.5338	0.5343	0.5343	slow
1450_1550	0.704	0.7361	0.7698	0.7658	0.871	0.6717	0.6876	0.685	0.6761	0.6525	0.6949	0.6913	0.6913	0.6407	0.6407	0.631	0.631	0.631	neither
1500_1600	0.8209	1.3099	1.251	1.4512	1.3997	1.2098	1.2415	1.1811	1.2413	1.1737	1.2554	1.3181	1.3728	1.2066	1.229	1.2016	1.2014	1.2117	neither
1550_1650	1.0229	1.6693	1.464	1.6983	1.594	1.4531	1.444	1.3941	1.54	1.4183	1.4868	1.6853	1.7352	1.4766	1.51	1.5372	1.5131	1.5229	neither
1600_1700	1.1036	1.5009	1.2502	1.2637	1.3899	1.2539	1.2675	1.2418	1.3034	1.1794	1.2003	1.3477	1.3637	1.2276	1.2702	1.2369	1.2166	1.2166	neither
1650_1750	0.692	NA	NA	NA	0.6605	0.816	0.8815	0.8436	0.8734	0.8624	0.9266	0.8853	0.9153	0.8102	0.841	0.7807	0.7914	0.7914	fast
1700_1800	0.8439	1.0917	1.2911	1.2273	NA	0.8373	0.8907	0.8649	0.8955	0.8434	0.9948	0.8903	0.9188	0.7883	0.8695	0.821	0.7779	0.7779	NA
1750_1850	0.7093	0.9912	1.1247	0.9993	NA	0.7504	0.7808	0.7399	0.8026	0.7953	0.8263	0.8079	0.818	0.7834	0.8454	0.8152	0.754	0.754	NA
1800_1900	0.5958	0.9848	1.0197	0.9404	NA	0.6959	0.7188	0.6703	0.7255	0.7101	0.7292	0.7398	0.7396	0.8035	0.8033	0.825	0.7843	0.8034	NA
1850_1950	0.4708	0.704	0.6937	0.7252	NA	0.5476	0.5535	0.5437	0.5381	0.4976	0.5483	0.5604	0.5707	0.634	0.6214	0.6651	0.6231	0.643	NA
1900_2000	0.2593	0.2388	0.2172	0.2452	NA	0.2584	0.2574	0.2671	0.2171	0.1853	0.2472	0.2918	0.2918	0.2353	0.2055	0.2251	0.2153	0.2153	NA
1950_2050	0.1256	0.1285	0.1098	0.1289	NA	0.1087	0.118	0.118	0.1593	0.0994	0.147	0.1904	0.1904	0.118	0.1272	0.1178	0.1178	0.1086	NA
2000_2100	0.1768	0.2642	0.2609	0.3308	NA	0.2913	0.3022	0.2808	0.3097	0.2623	0.2961	0.3253	0.3579	0.2849	0.3185	0.2837	0.2843	0.2735	NA
2050_2150	0.378	0.4963	0.5586	0.4715	0.4648	0.5478	0.5478	0.5367	0.5047	0.4801	0.4897	0.5834	0.6175	0.4805	0.4822	0.4778	0.4663	0.4663	fast
2100_2200	0.2896	0.6459	0.7	0.4934	0.3658	0.3576	0.3576	0.3576	0.4138	0.3719	0.3526	0.4779	0.4881	0.3631	0.3446	0.3619	0.3429	0.3429	neither
